CLASS	CAT	X	Y	W	H	PATH	xPOS	yPOS	zPOS	WIDTH	HEIGHT	xSPEED	ySPEED	FUN	TYPE	PL	PV	nFRAMES
1000	1000	0	-101.0
gtk.Oggetto	pavimento	224	0	32	32	./Sprites/Pianure.png	0.0	0.0	0.0	1100	1100	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	oggetto	32	128	32	32	./Sprites/Pianure.png	75.0	75.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64	32	32	./Sprites/Pianure.png	0.0	0.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64	32	32	./Sprites/Pianure.png	75.0	0.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64	32	32	./Sprites/Pianure.png	0.0	75.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64	32	32	./Sprites/Pianure.png	0.0	150.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	64	32	32	./Sprites/Pianure.png	75.0	150.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	64	32	32	./Sprites/Pianure.png	75.0	150.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	96	32	32	./Sprites/Pianure.png	75.0	225.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	96	32	32	./Sprites/Pianure.png	0.0	225.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	96	32	32	./Sprites/Pianure.png	150.0	75.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	64	32	32	./Sprites/Pianure.png	150.0	0.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	64	128	32	32	./Sprites/Pianure.png	0.0	436.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	128	128	32	32	./Sprites/Pianure.png	150.0	436.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	96	128	32	32	./Sprites/Pianure.png	75.0	436.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	96	192	32	32	./Sprites/Pianure.png	75.0	511.0	0.0	75	75	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	64	192	32	32	./Sprites/Pianure.png	0.0	511.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	128	192	32	32	./Sprites/Pianure.png	150.0	511.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	0	128	32	32	./Sprites/Pianure.png	225.0	511.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	32	32	32	./Sprites/Pianure.png	225.0	436.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	160	96	32	32	./Sprites/Pianure.png	225.0	586.0	0.0	75	75	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
